Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,DOB,DOA,End Date,Duration,Status,Label,Outcome,BT Start,BT Duration,Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Response,Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Response,Sitting-Response,Lying-Response,Lying-Settled,Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Return-Handler,Dog-Response,Dog-Call Back Response,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Responsiveness-After,Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Reunion-Response,Noise-Confidence,S-Walking-Pull_mean,S-Walking-Pull_prod,S-Distractions-Pull_mean,S-Distractions-Pull_prod,S-Walking-Distractions-Pull_mean,S-Walking-Distractions-Pull_prod,S-Familiarisation-Handler_mean,S-Familiarisation-Handler_prod,S-Call-Response_mean,S-Call-Response_prod,S-Familiarisation-Dog-Call,S-Obedience_mean,S-Obedience_prod,S-Sensitivity_mean,S-Sensitivity_prod,S-Tea Towel-First Response,S-Tea Towel-Second Response,S-Distractions-First Response_mean,S-Distractions-First Response_prod,S-Distractions-Second Response_mean,S-Distractions-Second Response_prod,S-Distractions-Difference_mean,S-Kong-Response_mean,S-Kong-Response_prod,S-Dog-Distraction_mean,S-Dog-Distraction_prod,S-Crate-Response_mean,S-Crate-Response_prod,S-Crate-Stimulus_mean,S-Crate-Stimulus_prod,S-Crate-Handler_mean,S-Crate-Handler_prod,S-Petting-Stimulus-During_mean,S-Petting-Stimulus-During_prod,S-Petting-Engagement-During_mean,S-Petting-Engagement-During_prod,S-Petting-After_mean,S-Petting-After_prod,S-Isolation-Handler_mean,S-Isolation-Handler_prod,S-Isolation-Stimulus,S-Sociability_mean,S-Sociability_prod
Nala,01-06-LN,1,11/02/2020,B,LRxGR,F,#REF!,IGDB,23/12/2018,07/01/2020,21/08/2020,227 days,AD,1,Success,14:48:34,00:16:39,4,2,2,,1,1,1,2,2,3,1,2,3,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,4,4,4,5,2,4,2,5,3,3,5,4,sits and moves slightly forward,Left,3,1,2,2,5,3,1,4,3,1,1,1,1,1,1,2,2,No,2,1,4,5,5,1,1,2,1,No,4,4,1,1,3,9,2,8,3,8,3,3,,2,6,1.5,0,2.5,2.5,4.25,320,3.25,80,-1,2.75,48,4,15,1.5,4,1.5,3,1,1,3,8,2.5,4,3,5,2.666666667,10,0,4.333333333,80
Odin,01-12-LO,1,11/02/2020,B,LRxGR,M,O1,IGDB,12/01/2019,21/01/2020,21/08/2020,213 days,AD,1,Success,15:19:50,00:13:38,3,3,3,,1,1,1,2,3,3,1,2,3,3,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,4,4,3,5,2,3,3,4,3,3,5,2,sits and moves closer to handler,None,3,1,2,2,4,1,2,2,3,1,1,1,1,1,1,2,2,No,1,1,3,4,,,,,,,,,1,1,3,9,2,8,3,9,1,1,,2.333333333,9,1.5,0,2,1.666666667,4,240,3,72,-1,2.25,24,2.5,4,2.25,24,1.5,3,1,1,2,3,2,3,2.5,4,,1,,3.5,12
Molly,01-01-LM,1,29/01/2020,A,LR,F,M1,IGDB,25/08/2018,09/01/2020,02/11/2020,298 days,AD,1,Success,12:30:36,00:14:57,3,4,2,1,3,1,1,2,2,2,4,3,1,3,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,5,3,4,5,1,3,2,4,2,2,6,4,Lifting hind quarters briefly and fixed staring,Righ,3,1,2,2,6,2,1,1,4,1,1,1,1,1,1,3,2,Yes,1,1,3,4,3,3,1,1,1,No,5,3,1,1,2,4,1,3,2.5,6,1.5,2,-1,2.666666667,16,1.25,0,1,1,4.25,300,2.5,24,-1.75,2.75,48,4,12,2.5,24,1.75,4,1,1,2,3,2,3,2.5,4,1.666666667,3,2,4,60
Nina,01-03-LN,1,29/01/2020,A,LRxGR,F,#REF!,IGDB,23/12/2018,09/01/2020,14/09/2020,249 days,GD,2,Success,13:46:49,00:13:06,3,5,2,1,2,1,1,4,1,,1,1,3,3,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,4,3,1,5,1,2,2,3,2,4,5,2,some whinging,None,1,2,,2,6,1,2,1,2,5,1,1,1,5,1,3,3,No,1,1,4,4,4,2,2,3,2,No,5,4,1,1,3,8,2,7,2.5,6,1,1,0,1,1,1.5,0,1.833333333,1.833333333,3.25,60,2,12,-1.25,1.666666667,4,3.5,6,3,72,1.25,2,3.666666667,25,2.5,4,2.5,4,2.5,4,3,24,0,4.333333333,80
Noel,01-05-LN,1,29/01/2020,A,LRxGR,M,#REF!,IGDB,23/12/2018,06/01/2020,11/11/2020,310 days,AD,1,Success,14:19:50,00:14:50,4,3,2,1,1,1,1,3,3,4,3,4,4,4,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,4,2,3,4,2,2,2,3,3,3,4,2,Sitting and maintaining but not completey into the kong - looking around at the assessors etc. ,None,3,3,1,2,4,1,2,1,3,1,1,1,1,1,1,1,2,No,1,1,3,4,4,1,2,3,1,No,4,4,1,1,3,9,2,8,3,8,1,1,0,3.333333333,36,2,0,1.833333333,1.833333333,3.25,96,2.25,24,-1,2,12,2.5,4,2.25,16,1.5,3,1,1,2,3,2,3,2.5,4,2.666666667,12,-1,3.666666667,48
Zeus,01-11-LZ,1,11/02/2020,A,LR,M,Z3,DFG,14/10/2018,21/01/2020,14/09/2020,237 days,GD,2,Success,15:48:14,00:11:35,2,5,1,1,2,3,3,2,3,3,2,1,4,4,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,1,3,3,4,3,2,3,2,2,3,6,4,Sitting and maintaining but stretching head out and staring intently,None,3,1,1,2,2,1,1,1,3,1,1,1,3,1,1,3,2,No,1,1,4,5,4,1,2,,1,No,5,4,3,9,2.5,6,-0.5,-3,1.5,2,1,1,0,2.666666667,18,2,0,1,0,2.75,36,2.5,36,-0.25,2.5,24,1.5,2,2.5,24,2,9,1,1,2.5,4,2.5,4,3,5,2.5,4,-1,4.666666667,100
Oj,01-13-LO,1,11/02/2020,A,LRxGR,M,O1,IGDB,12/01/2019,22/01/2020,02/11/2020,285 days,AD,1,Success,14:14:56,00:17:55,2,5,1,1,2,2,2,1,3,1,3,3,3,3,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,4,3,3,4,3,3,3,4,4,4,6,2,Sitting calmly. Mostly staring at kong but every now and then he peers over to the rest of the room,None,3,1,1,2,5,1,1,1,4,3,1,1,2,4,1,3,3,No,1,1,3,3,4,3,2,4,1,No,4,4,2,4,4,16,2,12,1.5,2,1,1,0,2.333333333,9,1.5,0,1,1,3.5,144,3.25,108,-0.25,2,12,3,5,2.75,36,2,8,2.666666667,12,2,3,2,3,2,3,3,16,1,3.333333333,36
Orbet,01-15-LO,1,11/02/2020,A,LRxGR,M,O1,IGDB,12/01/2019,21/01/2020,21/08/2020,213 days,AD,1,Success,13:43:44,00:19:21,4,5,1,2,3,1,1,3,2,2,4,3,3,4,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,2,3,2,5,3,3,2,4,3,5,6,1,sits for a while but doesnt look at the kong at all. Then moves off and explores and doesnt want to come back. No interest.,None,3,1,1,2,4,1,2,2,4,1,1,1,1,,1,1,2,No,1,1,2,4,4,2,2,,1,No,2,4,1,1,4,15,3,14,2.5,4,1.5,2,1,2.666666667,16,1.75,0,2.5,2.5,3,60,3,72,0,1.75,6,2.5,4,2,12,1.75,4,1,1,1.5,2,1.5,2,2.5,4,2.5,4,0,2.666666667,16
Varley,09-25-LV,1,05/10/2020,B,LR,M,V1,IGDB,11/06/2019,08/09/2020,14/04/2021,218 days,W,0,Fail,13:10:59,00:16:00,2,4,1,1,3,4,3,1,2,3,4,3,2,3,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,6,4,3,5,2,4,1,5,4,5,6,5,"unsettled, jumping at handler, lying down, whines, sits",None,2,2,,3,5,,2,2,2,3,1,1,1,3,1,3,3,No,2,1,4,4,3,4,3,2,1,No,5,4,3.5,12,4.5,20,1,8,1.5,2,1,1,,3,24,1.25,0,1.666666667,1.666666667,4.5,360,3,40,-1.5,3.333333333,30,5,5,2.75,54,1.25,2,2.333333333,9,3,8,2.5,4,2.5,4,2,6,1,4.333333333,80
Tango,09-23-LT,1,05/10/2020,B,LRxGR,F,T2,IGDB,23/05/2019,08/09/2020,22/04/2021,226 days,AD,1,Success,12:46:11,00:15:48,1,5,1,1,2,3,2,3,4,4,4,4,3,3,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,4,3,3,5,1,3,1,5,3,4,6,4,sitting,,3,1,1,2,4,1,1,4,2,1,1,1,1,1,1,1,2,No,1,1,3,4,3,3,2,1,1,No,4,3,2.5,6,3.5,12,1,6,1,1,1,1,0,4,64,1.75,0,1.666666667,1.666666667,3.75,180,2.5,15,-1.25,2.5,24,2.5,4,1.25,2,1.25,2,1,1,2,3,2,3,2.5,4,1.666666667,3,1,3.666666667,48
Quayla,09-24-LQ,1,05/10/2020,B,LRxGR,F,Q1,IGDB,20/03/2019,08/09/2020,03/02/2021,148 days,AD,1,Success,13:39:18,00:15:20,4,2,4,,2,3,3,3,2,4,3,2,2,3,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,1,4,2,1,5,4,1,5,3,4,6,2,"sits, puppy sit, whines, lies down, whines",Righ,4,1,1,3,4,1,1,3,4,1,1,1,1,1,1,2,2,No,2,1,3,4,5,1,1,4,1,No,4,4,3,9,3.5,12,0.5,3,4,16,1,1,,3,24,1.25,0,1,0.5,2,8,3.75,100,1.75,2.5,24,2.5,4,1.75,8,1.75,4,1,1,2.5,6,2,3,2.5,4,3.333333333,20,0,3.666666667,48
Zavier,09-22-LZ,1,05/10/2020,B,LR,M,Z4,AADI,22/07/2019,08/09/2020,16/09/2020,8 days,W,0,Fail,14:49:18,00:17:29,1,5,2,,1,2,2,3,2,3,1,2,2,3,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,4,4,2,5,3,3,2,3,3,4,5,4,sitting calmly but occas will look around at any noises heard,None,3,3,3,2,4,,2,2,2,1,1,1,1,1,1,2,2,No,1,2,2,2,4,2,3,3,2,No,,3,2,4,3.5,12,1.5,8,1.5,2,,1,,2,6,1.25,0,1.666666667,2.5,3.75,160,2.75,54,-1,3,72,4,4,2.25,24,1.25,2,1,1,1.5,2,2,4,2,4,3,24,-1,2,4
Zaid,09-21-LZ,1,05/10/2020,B,LR,M,Z4,AADI,22/07/2019,08/09/2020,19/03/2021,192 days,W,0,Fail,15:23:03,00:16:04,2,4,2,,2,3,2,2,1,4,4,2,4,3,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,4,4,2,5,2,3,1,5,3,3,6,4,"stayed sitting, did whine at times",None,2,3,1,2,6,2,1,2,3,2,1,1,2,2,1,2,2,No,1,2,1,2,4,2,2,3,3,No,4,4,2.5,6,3,9,0.5,3,2,4,2,2,,3,16,1.75,0,1,2.5,3.75,160,2.75,30,-1,2.25,16,4,12,2,12,1.75,6,1.666666667,4,1,1,1.5,2,2,4,3.333333333,36,0,2.333333333,8
Simon,09-31-LS,1,12/10/2020,B,LRx,M,S1,IGDB,19/04/2019,15/09/2020,26/08/2021,345 days,GD,2,Success,14:18:17,00:17:27,2,5,1,2,2,3,3,2,1,2,1,1,4,2,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,4,4,4,5,1,2,1,5,3,5,5,2,"sit moves and resits, jumps up at handler, sits, moves away from handler, jumps up x 2, sits",Both,3,1,1,2,5,3,1,1,4,2,3,3,3,2,1,3,3,No,2,1,3,4,3,3,3,1,1,No,4,4,3,9,4,15,1,6,1.5,2,2.5,6,-1,1.333333333,2,1.5,0,2.5,2.5,4.25,320,2.25,10,-2,2,12,4,15,2.75,36,3.25,108,1.666666667,4,2.5,6,2,3,2.5,4,1.666666667,3,0,3.666666667,48
Teal,09-32-LT,1,12/10/2020,B,LRxGR,F,T2,IGDB,23/05/2019,15/09/2020,29/03/2021,195 days,AD,1,Success,13:14:49,00:18:30,1,5,1,3,3,4,3,2,2,4,4,2,4,3,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,6,5,4,5,5,4,3,4,4,5,6,2,"stayed sitting, only looking away briefly at times usually when she heard something",None,3,1,1,,5,,3,1,4,2,1,1,1,2,1,3,3,No,1,1,1,2,4,1,2,2,1,No,4,4,3.5,12,4.5,20,1,8,1,1,3,3,,3.333333333,32,1.75,0,1,1.666666667,5,600,4,240,-1,2,6,5,5,3.25,108,1.75,4,1.666666667,4,1,1,1,1,1.5,2,2.333333333,8,-1,2.333333333,8
Zaar,09-33-LZ,1,12/10/2020,B,LR,M,Z5,Private breeder,20/05/2019,15/09/2020,28/07/2021,316 days,AD,1,Success,14:43:46,00:17:25,2,4,1,1,3,3,3,3,2,4,2,3,2,2,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,4,4,3,6,2,3,2,5,4,5,6,4,sits looking intensely at the kong,None,3,3,5,,4,1,1,3,3,1,1,1,1,1,1,2,2,No,2,1,3,4,4,2,1,1,1,No,4,4,3,9,4.5,20,1.5,11,1.5,2,1,1,0,2.666666667,16,1.75,8,1.666666667,1.666666667,4.25,288,3,60,-1.25,4,60,2.5,4,1.75,8,1.5,3,1,1,2.5,6,2,3,2.5,4,2,4,1,3.666666667,48
Zackie,09-34-LZ,1,12/10/2020,B,LR,M,Z4,AADI,22/07/2019,15/09/2020,21/05/2021,248 days,GD,2,Success,13:46:21,00:17:58,2,4,2,,2,2,2,3,1,3,1,1,2,2,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,4,4,3,5,3,3,3,5,3,3,5,4,"sits, lies down, sits, whines",None,3,1,1,2,4,1,2,3,2,3,1,1,1,4,1,2,2,No,2,1,3,2,5,1,1,3,3,No,4,4,2,4,3,9,1,5,2,4,1,1,,1.666666667,3,1.25,0,2.5,2.5,4,240,3.5,135,-0.5,2.5,24,2.5,4,2,16,1.25,2,2.666666667,12,2.5,6,2,3,1.5,2,3.666666667,45,0,3,24
Vale,09-35-LV,1,12/10/2020,B,LR,M,V1,IGDB,11/06/2019,15/09/2020,21/05/2021,248 days,GD,2,Success,12:41:44,00:19:28,1,5,1,1,1,2,2,3,1,1,2,1,4,2,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,1,4,3,5,1,4,3,5,4,4,6,4,"sit, stands, whines, moves around",Righ,3,1,2,3,4,1,1,3,3,1,1,1,1,1,1,2,3,No,1,1,4,5,5,1,1,2,1,No,5,4,2,4,4,16,2,12,1,1,1,1,0,1.333333333,2,1.5,0,2.5,2.5,3.25,60,3.25,60,0,3,72,2.5,4,2,12,1.5,3,1,1,2.5,4,2.5,4,3,5,2.666666667,10,0,4.666666667,100
Zita,10-41-LZ,1,30/10/2020,B,LRxGR,F,Z7,GDBUK,29/04/2019,05/10/2020,21/05/2021,228 days,GD,2,Success,14:31:17,00:16:13,1,5,1,1,2,3,2,2,2,3,1,1,,3,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,4,4,4,5,3,3,3,5,4,5,6,4,"mainly sit and intermittently whines, moves and sits again",Righ,3,1,1,2,5,2,3,2,2,4,1,1,1,4,3,3,3,No,2,1,5,6,3,2,3,3,1,No,5,4,2.5,6,4.5,20,2,14,1,1,1.5,2,-1,2,6,2,6,2.5,1.666666667,4.25,320,3.5,135,-0.75,2.5,24,3.5,10,3,81,1.25,2,3.666666667,48,3.5,10,3,5,3.5,6,2.333333333,9,-1,5.333333333,150
Tim,10-42-LT,1,30/10/2020,B,LR,M,T3,GDBUK,20/04/2019,05/10/2020,21/05/2021,228 days,GD,2,Success,13:29:04,00:15:38,2,4,1,2,2,3,2,2,1,3,2,2,4,3,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,2,2,2,4,1,4,3,2,3,3,6,4,stays sitting,None,3,1,1,2,6,2,2,4,2,1,1,1,1,1,1,1,2,No,1,1,3,4,5,1,1,2,1,No,4,4,2.5,6,3,9,0.5,3,1.5,2,2,4,0,2,6,1.75,0,1.666666667,1.666666667,2.5,32,2.5,24,0,2.5,24,4,12,1.5,4,1.25,2,1,1,2,3,2,3,2.5,4,2.666666667,10,0,3.666666667,48
Rebecca,10-43-LR,1,30/10/2020,B,LRxGR,F,R2,GDBUK,15/04/2019,05/10/2020,21/05/2021,228 days,GD,2,Success,13:57:22,00:15:20,2,4,1,1,2,2,2,2,1,,2,2,4,2,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4,4,3,4,4,4,3,4,3,2,6,2,"sits, moves slightly nearer the handler, whines and sits again",Righ,3,1,1,2,4,2,3,1,2,1,1,1,1,1,1,3,4,No,2,1,4,2,3,3,1,2,1,No,3,4,2,4,2.5,6,0.5,2,1.5,2,1.5,2,-1,1.5,2,1.75,0,3.5,3.5,3.75,192,3.75,192,0,2,12,3,8,3.5,144,1.25,2,1,1,3,8,2.5,4,1.5,2,2,6,2,3,24
Eddie,10-45-LE,1,30/10/2020,B,LR,M,E2,GDBUK,18/03/2019,05/10/2020,11/06/2021,249 days,GD,2,Success,12:58:18,00:16:56,5,1,5,,2,2,2,3,4,1,3,2,4,3,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,4,4,4,4,3,4,3,2,2,2,6,2,"stood beside the handler, occasionally looking around",None,3,1,1,2,4,1,2,2,2,1,1,1,1,1,1,2,2,No,1,1,3,4,5,1,1,1,1,No,4,4,2,4,2,4,0,0,5,25,1,1,,2.666666667,12,1.75,0,1,1,4,256,3,72,-1,2,12,2.5,4,2.25,24,1.25,2,1,1,2,3,2,3,2.5,4,2.333333333,5,0,3.666666667,48
Zeeno,11-44-LZ,1,08/12/2020,B,GRxPoodle,M,Z8,Private breeder,13/07/2019,10/11/2020,17/09/2021,311 days,GD,2,Success,14:19:42,00:21:33,2,4,2,1,2,4,2,3,3,3,4,4,3,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,4,4,4,4,3,3,2,2,3,3,6,1,moves away from handler sniffing around room,None,1,,,2,6,4,2,1,3,3,1,1,1,3,1,3,3,No,2,1,3,4,4,2,2,4,2,No,4,4,3,8,3,9,0,1,2,4,2.5,4,-3,3.333333333,36,1.5,0,2.5,1.666666667,4,256,2.5,36,-1.5,1.333333333,2,5,24,3,72,1.5,3,2.333333333,9,2.5,6,2,3,2.5,4,3.333333333,32,0,3.666666667,48
Thor,11-42-LT,1,08/12/2020,B,LRxGR,M,T2,IGDB,23/05/2019,10/11/2020,28/07/2021,260 days,AD,1,Success,13:50:37,00:17:36,1,5,1,1,2,3,2,3,3,2,2,2,3,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,2,4,2,5,2,4,2,4,3,3,6,2,"sits, then stands then walks away from handler",None,3,1,1,2,5,3,2,3,3,1,1,1,1,2,1,2,2,No,1,1,3,4,1,5,3,2,1,No,4,4,2.5,6,3,9,0.5,3,1,1,2,3,-2,2.333333333,12,1.5,0,2.5,1.666666667,3.25,80,3,64,-0.25,2,12,4,15,2,16,1.5,3,1.333333333,2,2,3,2,3,2.5,4,1.333333333,2,2,3.666666667,48
Tessa,11-43-LT,1,08/12/2020,B,LRxGR,F,T2,IGDB,23/05/2019,10/11/2020,10/12/2021,395 days,GD,2,Success,12:39:34,00:16:30,3,3,2,1,2,3,2,2,2,4,2,2,3,3,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,1,4,3,4,1,3,3,3,3,4,5,5,"sits, stands, jumps toward the kong, whines and short bark",None,3,1,1,2,8,3,2,2,2,1,1,1,1,1,5,2,2,No,1,2,3,3,4,2,1,,1,No,4,4,2.5,6,3.5,12,1,6,2.5,6,2,3,-2,2.666666667,16,1.5,0,2.5,1.166666667,3,48,2.5,27,-0.5,2.75,30,5.5,24,2.25,24,1.25,2,2.333333333,5,2,3,2.5,6,2.5,6,2.5,4,1,3.333333333,36
Yeska,11-44-LY,1,08/12/2020,B,LRxGR,F,Y1,IGDB,25/09/2019,10/11/2020,21/05/2021,192 days,GD,2,Success,12:03:56,00:18:48,2,4,2,2,2,3,3,2,2,4,2,2,4,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,6,4,4,5,6,4,3,5,4,5,6,5,"sit, jumps at handler and moves around and jumps again on second video dog sits still",None,3,1,1,2,6,3,1,2,3,2,1,1,1,2,1,2,2,No,1,1,3,3,3,2,2,2,1,No,4,4,3,9,4.5,20,1.5,11,2,4,2.5,6,-1,2.666666667,16,1.75,0,2.5,1.666666667,4.75,480,4.5,360,-0.25,2.75,30,4.5,18,2,12,1.5,3,1.666666667,4,2,3,2,3,2,3,2,6,0,3.333333333,36
Zarley,11-45-LZ,1,08/12/2020,B,LR,M,Z9,Private breeder,01/09/2019,10/11/2020,07/07/2021,239 days,GD,2,Success,13:15:21,00:17:25,2,4,1,2,3,4,3,3,3,4,2,3,3,3,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,5,5,3,4,4,4,3,3,4,4,7,5,"sits, stands, whines, sits ",Righ,3,3,4,2,8,4,1,4,2,1,1,1,1,1,1,2,2,No,1,1,3,,5,1,1,2,1,No,6,3,3.5,12,4,16,0.5,4,1.5,2,3,8,-2,3,24,1.75,0,3.166666667,2.5,4.25,300,3.5,144,-0.75,3.5,120,6,32,1.5,4,1.25,2,1,1,2,3,2,3,1,1,2.666666667,10,0,4.5,18
Rainbow,11-51-LR,1,14/12/2020,A,LR,F,R3,GDBUK,09/06/2019,20/11/2020,30/07/2021,252 days,GD,2,Success,14:20:15,00:13:53,4,5,1,2,1,1,1,2,2,2,3,3,3,3,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,3,2,2,5,1,2,1,4,3,4,4,2,Sitting patiently looking over at handler every now and then,Left,3,1,1,2,5,1,1,4,4,1,1,2,1,1,1,1,1,No,1,1,4,4,3,3,3,2,1,No,4,3,1,1,3.5,12,2.5,11,2.5,4,1.5,2,1,2.333333333,12,1.5,0,0,1.833333333,3,60,2,8,-1,2,12,3,5,1,1,2,8,1,1,2.5,4,2.5,4,2.5,4,2,6,0,4,64
Minnie,12-02-LM,1,09/01/2020,B,LR,F,M1,IGDB,25/08/2018,09/12/2019,21/07/2020,225 days,GD,2,Success,13:41:23,00:15:09,,5,1,,1,3,2,2,4,3,3,1,4,2,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,6,4,3,5,2,2,2,2,3,5,7,2,stays sitting,Righ,3,2,4,2,4,1,2,1,2,3,1,1,2,2,1,3,3,No,1,1,2,3,4,2,2,2,1,No,5,4,2.5,6,4,15,1.5,9,1,1,1,1,,3.333333333,36,1.5,0,3.5,2.5,4.5,360,2,16,-2.5,2.75,48,2.5,4,3,72,1.5,4,2,6,1.5,2,1.5,2,2,3,2.333333333,8,0,3.333333333,30
Milo,12-03-LM,1,09/01/2020,B,LR,M,M1,IGDB,25/08/2018,09/12/2019,24/08/2020,259 days,AD,1,Success,14:12:59,00:14:52,,5,1,,1,1,1,3,2,1,3,2,3,3,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,4,3,4,4,1,3,2,2,2,2,5,5,sits and then jumps up slightly,Both,3,,2,2,6,,2,4,2,1,1,2,1,1,1,2,2,No,1,1,3,4,4,2,2,2,1,No,4,4,1,1,2,4,1,3,1,1,,1,,2,6,1.5,0,0.333333333,1.5,3.75,192,2,12,-1.75,3,60,6,6,1.75,8,1.5,4,1,1,2,3,2,3,2.5,4,2.333333333,8,0,3.666666667,48
Clay,11-52-LC,1,14/12/2020,A,LR,M,C1,GDBUK,03/05/2019,20/11/2020,29/04/2021,160 days,W,0,Fail,14:45:42,00:13:32,2,5,1,2,2,3,2,3,4,2,3,3,3,3,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,5,2,3,5,4,3,2,2,3,3,4,5,Constantly jumping up and barking for trainer to give over the toy. Also walks around the handler in high anticipation. ,Righ,3,2,3,2,4,1,1,1,2,5,3,3,3,5,1,3,3,No,2,1,4,3,4,2,4,3,1,No,4,3,2.5,6,3,9,0.5,3,1.5,2,1.5,2,1,3,24,1.5,0,1.666666667,3.5,3.75,150,2.75,48,-1,3.25,90,2.5,4,2.75,36,2.75,54,3.666666667,25,3,8,2.5,4,2,3,2.666666667,12,-2,3.666666667,48
Dora,11-53-LD,1,14/12/2020,A,LR,F,D2,GDBUK,23/06/2019,20/11/2020,17/06/2021,209 days,GD,2,Success,13:55:22,00:14:03,3,5,1,1,1,1,1,2,4,3,4,2,4,3,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,3,3,2,4,2,2,3,3,2,3,4,2,seated most of the time staring intently at handler in anticipation,Both,3,1,3,2,3,1,2,4,2,2,1,1,1,2,1,1,2,No,1,1,3,2,4,2,5,4,1,No,5,4,1,1,2.5,6,1.5,5,2,3,1,1,0,3.666666667,48,2,0,1.833333333,1.833333333,3,72,2.5,36,-0.5,2.5,36,2,3,1.5,4,1.25,2,1.666666667,4,2,3,2,3,1.5,2,3,16,-3,3.333333333,30
